書名,期數,作者,出版社,價格,頁數,出版日期,尺碼,購書地點,ISSN,封面
哆啦A夢,32,藤子.F.不二雄,PRNERBIT TORA AMAN,4.5,192,5/1/1999,2,馬來西亞,15114368,
哆啦A夢大長篇,vol.1 恐龍大冒險,藤子.F.不二雄,PRNERBIT TORA AMAN,4.5,192,9/1/1997,2,馬來西亞,15114376,
哆啦A夢增版,1,藤子.F.不二雄,PRNERBIT TORA AMAN,4.5,192,4/1/2005,2,馬來西亞,18233783,
DORAEMON,5,藤子.F.不二雄,PRNERBIT TORA AMAN,4.5,192,4/1/2004,2,馬來西亞,15114384,
DORAEMON,6,藤子.F.不二雄,PRNERBIT TORA AMAN,4.5,192,5/1/2004,2,馬來西亞,15114384,
DORAEMON PLUS,1,藤子.F.不二雄,PRNERBIT TORA AMAN,4.5,192,5/1/2004,2,馬來西亞,18233775,
DORABASE,5,MUGIWARE SHINTARO,PRNERBIT TORA AMAN,4.5,192,5/1/2004,2,馬來西亞,15114392,
CERITA PANJANG DORAEMON,Vol.20 Legenda Raja Matahari,藤子.F.不二雄,PRNERBIT TORA AMAN,4.5,192,9/1/2000,2,馬來西亞,15114392,
CERITA PANJANG DORAEMON,Vol.22 Negara Robot Nobita,藤子.F.不二雄,PRNERBIT TORA AMAN,4.5,192,10/1/2002,2,馬來西亞,15114392,
哆啦A夢彩色作品集,第5卷,藤子.F.不二雄,PRNERBIT TORA AMAN,6,160,6/1/2006,3,馬來西亞,18235336,
,,,RM,46.5,,,,,,